1620977542089080064,-0.11723,0.02289,0.05384,0.99878,-0.03838,0.03070,0.00423,
1620977542688829952,-0.04855,0.11709,0.03960,0.99895,-0.04366,0.00896,-0.01044,
1620977542839814912,-0.03752,0.26101,0.06036,0.99933,0.00840,0.03546,0.00187,
1620977543043101184,-0.04962,0.37973,0.05804,0.99753,0.06569,-0.00416,0.02456,
1620977543339766016,-0.06466,0.17627,0.07778,0.99830,0.02761,0.03412,0.03830,
1620977543440012032,-0.05967,0.04498,0.08196,0.99832,-0.00520,0.05124,0.02662,
1620977543537765120,-0.05453,-0.08276,0.08815,0.99783,-0.03982,0.05184,0.00770,
1620977543640211968,-0.04697,-0.19794,0.09367,0.99725,-0.05936,0.04259,-0.01269,
1620977544090585088,-0.05085,-0.08173,0.10384,0.99740,-0.05138,0.04671,-0.01939,
1620977544293699072,-0.05402,0.02800,0.06789,0.99859,-0.01738,0.04779,0.01555,
1620977544488776960,-0.05221,0.06481,0.23155,0.99866,0.00040,0.05162,-0.00321,
1620977544591032064,-0.05943,0.06434,0.37504,0.99793,0.02040,0.05691,-0.02170,
1620977545038523904,-0.08041,0.04472,0.20591,0.99981,-0.01323,0.00685,0.01280,
1620977545239168000,-0.07561,0.04023,0.07614,0.99972,-0.01175,-0.00880,0.01847,
1620977552490300928,-0.05496,-0.05419,0.10516,0.99295,-0.05758,-0.01209,-0.10293,
1620977552941148160,-0.02905,-0.07107,0.24188,0.98822,-0.02880,0.05459,-0.14007,
1620977553143356928,0.02322,-0.08049,0.34870,0.99132,-0.02473,0.00069,-0.12909,
1620977553341076992,0.08083,-0.07883,0.47565,0.99498,-0.01362,-0.00622,-0.09894,
1620977553540174848,0.13084,-0.07151,0.62133,0.99846,-0.00112,0.00276,-0.05537,
1620977553739609088,0.17061,-0.06516,0.77313,0.99987,-0.01161,0.00725,-0.00904,
1620977553988187136,0.20248,-0.07344,0.88803,0.99901,-0.01467,0.01189,0.04033,
1620977554740549120,0.19313,-0.17309,0.89021,0.99834,-0.03686,0.01444,0.04191,
1620977555438117888,0.10243,-0.21256,0.82059,0.99960,0.00052,0.02811,-0.00201,
1620977555887828992,0.06778,-0.29737,0.65907,0.99906,-0.00418,0.04134,0.01257,
1620977556290575872,0.08885,-0.38763,0.54924,0.99941,-0.01418,0.03004,0.00861,
1620977556838332928,0.15808,-0.47947,0.44444,0.99950,-0.02526,0.01695,0.00833,
1620977558090336000,0.11420,-0.40469,0.60222,0.99973,-0.01648,0.01571,-0.00387,
1620977558288110080,0.09020,-0.37761,0.71271,0.99964,-0.01837,0.01244,-0.01511,
1620977558488944128,0.06657,-0.35036,0.82834,0.99951,0.00583,0.02301,-0.02053,
1620977558790523136,0.04464,-0.32922,0.95463,0.99950,-0.00134,0.02886,-0.01249,
1620977559339894016,0.02743,-0.31273,1.07572,0.99975,-0.00509,0.01766,-0.01300,
1620977559988957952,0.03151,-0.36531,1.20143,0.99919,-0.02511,0.01540,-0.02749,
1620977560938298112,-0.02093,-0.28603,1.25400,0.99967,0.00301,0.01925,-0.01693,
1620977561239566080,-0.05155,-0.27237,1.13804,0.99923,0.01603,0.03586,-0.00250,
1620977561740043008,-0.03304,-0.36425,0.99947,0.99953,-0.00397,0.02615,-0.01529,
1620977562189824000,0.01634,-0.49386,0.90016,0.99961,-0.01810,0.01780,-0.01136,
1620977562940710144,0.09849,-0.62861,0.80230,0.99956,-0.02721,0.00992,-0.00600,
1620977564689876992,0.12442,-0.46915,0.74684,0.99966,-0.01824,0.01130,-0.01514,
1620977565141093888,0.10170,-0.34903,0.74368,0.99975,-0.00436,0.01439,-0.01627,
1620977565990283008,0.07336,-0.24275,0.74982,0.99969,-0.00605,0.01743,-0.01685,
1620977576291757056,0.10682,-0.32687,0.69798,0.99983,-0.01193,0.01281,-0.00657,
1620977631239672832,0.11482,-0.40439,0.63018,0.99971,-0.01871,0.00776,-0.01271,
1620977633241702912,0.07865,-0.26779,0.64389,0.99988,-0.00649,0.01026,-0.00923,
1620977636091299072,0.12960,-0.38766,0.62555,0.99970,-0.02047,0.01014,-0.00833,
1620977639441616128,0.10146,-0.29148,0.62188,0.99986,-0.01130,0.01237,0.00089,
1620977643891134976,0.10951,-0.39770,0.59451,0.99970,-0.02145,0.01160,-0.00355,
1620977645991819008,0.05246,-0.23889,0.62591,0.99989,-0.00962,0.01144,-0.00163,
1620977647990667008,0.07901,-0.34378,0.61215,0.99967,-0.02063,0.00895,-0.01262,
1620977705237391104,0.11904,0.36422,-0.30462,0.98979,0.06284,-0.12123,-0.04098,
